149.54.81.86 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.62.162 | Country: AF | Confidence: 100% | Reason: Malicious Activity
180.94.74.122 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.81.98 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.15.162 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.40.182 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.51.82 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.40.94 | Country: AF | Confidence: 100% | Reason: Malicious Activity
180.94.74.82 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.81.50 | Country: AF | Confidence: 100% | Reason: Malicious Activity
149.54.62.6 | Country: AF | Confidence: 100% | Reason: Malicious Activity
